vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
42.,None So Vile,(1996),Cryptopsy,Death,8.68,348
43.,Quietus,(2001),Evoken,Death,8.67,104
44.,Back In Blood,(2007),Debauchery,Death,8.67,21
45.,...For Victory,(1994),Bolt Thrower,Death,8.67,239
46.,11 Dreams,(2004),Mercenary,Death,8.67,173
47.,Covenant,(1993),Morbid Angel,Death,8.67,525
48.,Far Away From The Sun,(1996),Sacramentum,Death,8.67,63
49.,Indefinite Soul-Extension,(2003),Unmoored,Death,8.67,30
50.,Necroticism: Descanting The Insalubrious,(1991),Carcass,Death,8.66,514
51.,Under The Red Cloud,(2015),Amorphis,Death,8.66,594
52.,Seven Churches,(1985),Possessed,Death,8.65,254
53.,The Somberlain,(1993),Dissection,Death,8.65,444
54.,Shrouded Divine,(2008),In Mourning,Death,8.65,376
55.,Immerse In Infinity,(2009),Lost Soul,Death,8.64,61
56.,Effigy Of The Forgotten,(1991),Suffocation,Death,8.64,260
57.,The Latter Rain,(2007),In Vain,Death,8.64,96
58.,Blinding The Masses,(2009),Scarab,Death,8.64,45
59.,Winds Of Creation,(2000),Decapitated,Death,8.64,276
60.,Testimony Of The Ancients,(1991),Pestilence,Death,8.64,183
61.,Sculpture Of Stone,(2004),Dies Irae,Death,8.64,33
62.,Annihilation Of The Wicked,(2005),Nile,Death,8.64,669
63.,Deicide,(1990),Deicide,Death,8.64,345
64.,The Aura,(2011),Beyond Creation,Death,8.63,220
65.,The Scepter Of The Ancients,(2003),Psycroptic,Death,8.63,101
66.,New World Shadows,(2011),Omnium Gatherum,Death,8.63,619
67.,Solinari,(1999),Morgion,Death,8.63,30
68.,Sumerian Daemons,(2003),Septicflesh,Death,8.63,440
69.,Twilight Of The Thunder God,(2008),Amon Amarth,Death,8.62,1575
70.,Dechristianize,(2003),Vital Remains,Death,8.62,180
71.,The Nocturnal Silence,(1993),Necrophobic,Death,8.62,64
72.,Graves Of The Archangels,(2008),Dead Congregation,Death,8.62,55
73.,Futile,(1999),Rapture,Death,8.62,124
74.,Litany,(2000),Vader,Death,8.62,317
75.,Holographic Universe,(2008),Scar Symmetry,Death,8.62,476
76.,Close To A World Below,(2000),Immolation,Death,8.62,177
77.,Epitaph,(2004),Necrophagist,Death,8.62,400
78.,A Celebration Of Guilt,(2004),Arsis,Death,8.62,181
79.,Chaostream,(2005),Lost Soul,Death,8.61,23
80.,New Moon,(2009),Swallow The Sun,Death,8.61,457
81.,Ever-Arch-I-Tech-Ture,(2006),He Came From The Sun,Death,8.60,30
82.,Stabwound Orgasm,(1999),Avulsed,Death,8.60,25
83.,Cosmogenesis,(2009),Obscura,Death,8.60,495
84.,Absence,(2005),Noumena,Death,8.60,123
85.,Millennium,(1996),Monstrosity,Death,8.60,60
86.,As The Weird Travel On,(2005),Deceased,Death,8.59,41
87.,"Words That Go Unspoken, Deeds That Go Undone",(2005),Akercocke,Death,8.59,189
88.,Antithesis Of Light,(2005),Evoken,Death,8.59,134
89.,Slow Transcending Agony,(2005),Ataraxie,Death,8.59,46
90.,Demigod,(2004),Behemoth,Death,8.59,808
91.,Piece Of Time,(1989),Atheist,Death,8.59,278
92.,Deathrace King,(2000),The Crown,Death,8.59,103
93.,Cybion,(2009),Kalisia,Death,8.59,417
94.,The Horror,(2009),Tribulation,Death,8.58,67
95.,Onset Of Putrefaction,(1999),Necrophagist,Death,8.58,324
96.,Planetary Duality,(2008),The Faceless,Death,8.58,246
97.,Diabolical Conquest,(1998),Incantation,Death,8.58,59
98.,Pathetic Being,(2001),Sceptic,Death,8.58,31
99.,Swampsong,(2003),Kalmah,Death,8.58,423
100.,Hope,(2007),Swallow The Sun,Death,8.58,377
1.,Paranoid,(1970),Black Sabbath,Doom,9.10,1440
2.,Black Sabbath,(1970),Black Sabbath,Doom,9.01,1151
3.,Veronika Decides To Die,(2006),Saturnus,Doom,8.98,383
4.,Judgement,(1999),Anathema,Doom,8.94,847
5.,Alternative 4,(1998),Anathema,Doom,8.93,806
6.,Master Of Reality,(1971),Black Sabbath,Doom,8.92,974
7.,A Sombre Dance,(1999),Estatic Fear,Doom,8.90,242
8.,Arcane Rain Fell,(2005),Draconian,Doom,8.89,645
9.,Songs Of Moors And Misty Fields,(1997),Empyrium,Doom,8.88,362
10.,Brave Murder Day,(1996),Katatonia,Doom,8.88,691
11.,The Angel And The Dark River,(1995),My Dying Bride,Doom,8.87,517
12.,Martyre,(2000),Saturnus,Doom,8.86,252
13.,Draconian Times,(1995),Paradise Lost,Doom,8.85,684
14.,Fallout,(2004),Slumber,Doom,8.84,245
15.,Epicus Doomicus Metallicus,(1986),Candlemass,Doom,8.82,474
16.,Sounds Of Pain,(2005),Uaral,Doom,8.81,165
17.,The Morning Never Came,(2003),Swallow The Sun,Doom,8.81,500
18.,Nightfall,(1987),Candlemass,Doom,8.78,425
19.,Turn Loose The Swans,(1993),My Dying Bride,Doom,8.78,487
20.,The Dreadful Hours,(2001),My Dying Bride,Doom,8.77,451
21.,Sudden Death Syndrome,(2008),Bilocate,Doom,8.76,107
22.,Watching From A Distance,(2007),Warning,Doom,8.76,155
23.,Betray My Secrets,(1999),Betray My Secrets,Doom,8.76,25
24.,Days Of Nothing,(2007),The Foreshadowing,Doom,8.75,158
25.,Paradise Belongs To You,(1996),Saturnus,Doom,8.75,215
26.,Das Schachbrett Des Trommelbuben Zacharias,(1999),Angizia,Doom,8.72,25
